Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_per_Unit,Units_Sold,Total_Sales,Operating_Profit,Sales_Method
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Women's Street Footwear,19,106,2014,107,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Women's Street Footwear,20,124,2480,131,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Women's Street Footwear,20,425,8500,3400,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Women's Street Footwear,20,475,9500,3800,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Women's Street Footwear,23,138,3174,175,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,24,98,2352,122,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,24,102,2448,122,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,24,113,2712,138,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,24,140,3360,151,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,325,8125,3250,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,8750,3500,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,450,11250,4500,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Women's Street Footwear,25,475,11875,4750,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,25,500,12500,4375,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Women's Street Footwear,27,106,2862,152,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,27,126,3402,153,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Men's Street Footwear,27,231,6237,324,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Women's Street Footwear,28,75,2100,109,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,28,111,3108,152,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Women's Apparel,28,128,3584,219,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Men's Street Footwear,28,218,6104,336,Online
Amazon,1185732,2/22/21,Midwest,Ohio,Columbus,Women's Street Footwear,29,63,1827,97,Online
Amazon,1185732,2/11/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,29,101,2929,146,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,29,112,3248,166,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,29,138,4002,188,Online
Amazon,1185732,2/11/21,Midwest,Ohio,Columbus,Women's Apparel,29,143,4147,253,Online
Amazon,1185732,2/22/21,Midwest,Ohio,Columbus,Women's Street Footwear,30,250,7500,3000,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Women's Street Footwear,30,300,9000,3600,Online
Amazon,1185732,2/11/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,30,375,11250,4500,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,30,400,12000,4800,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,30,425,12750,4463,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Women's Street Footwear,30,425,12750,5100,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,30,450,13500,4725,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Women's Apparel,30,475,14250,7125,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,30,550,16500,5775,Online
Amazon,1185732,2/11/21,Midwest,Ohio,Columbus,Women's Apparel,30,550,16500,8250,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Men's Street Footwear,30,725,21750,8700,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Men's Street Footwear,30,770,23100,9240,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Women's Street Footwear,32,116,3712,186,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Men's Apparel,32,122,3904,187,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,34,42,1428,71,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Women's Apparel,34,137,4658,303,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Men's Street Footwear,34,169,5746,299,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,35,150,5250,2100,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Women's Street Footwear,35,445,15575,6230,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Men's Apparel,35,450,15750,5513,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Women's Apparel,35,525,18375,9188,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Men's Street Footwear,35,675,23625,9450,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Men's Street Footwear,36,210,7560,393,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Women's Apparel,37,81,2997,162,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Men's Apparel,37,113,4181,205,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Men's Apparel,37,116,4292,197,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Men's Street Footwear,37,135,4995,270,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Women's Apparel,37,138,5106,317,Online
Amazon,1185732,2/22/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,38,58,2204,101,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,38,78,2964,139,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,38,123,4674,257,Online
Amazon,1185732,2/22/21,Midwest,Ohio,Columbus,Men's Street Footwear,38,138,5244,278,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Women's Apparel,38,147,5586,352,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Women's Street Footwear,39,143,5577,284,Online
Amazon,1185732,2/22/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,40,200,8000,2800,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,40,300,12000,4200,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Women's Apparel,40,300,12000,4800,Online
Amazon,1185732,3/9/21,Midwest,Ohio,Columbus,Men's Apparel,40,375,15000,5250,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Men's Apparel,40,400,16000,5600,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,40,425,17000,6800,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Women's Street Footwear,40,475,19000,7600,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Men's Street Footwear,40,500,20000,8000,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Women's Apparel,40,525,21000,10500,Online
Amazon,1185732,2/22/21,Midwest,Ohio,Columbus,Men's Street Footwear,40,550,22000,8800,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Women's Apparel,40,550,22000,11000,Online
Amazon,1185732,10/11/21,Midwest,Ohio,Columbus,Men's Street Footwear,40,725,29000,11600,Online
Amazon,1185732,2/11/21,Midwest,Ohio,Columbus,Men's Apparel,41,122,5002,230,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,41,138,5658,260,Online
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,41,158,6478,330,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Men's Apparel,42,101,4242,199,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Men's Street Footwear,42,207,8694,435,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,44,135,5940,291,Online
Amazon,1185732,4/10/21,Midwest,Ohio,Columbus,Men's Apparel,45,375,16875,5906,Online
Amazon,1185732,2/11/21,Midwest,Ohio,Columbus,Men's Apparel,45,450,20250,7088,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,45,500,22500,7875,Online
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,45,525,23625,9450,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,45,550,24750,8663,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Men's Street Footwear,45,795,35775,14310,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Men's Apparel,46,52,2392,112,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,47,173,8131,382,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Men's Apparel,49,126,6174,284,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,49,140,6860,350,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Women's Street Footwear,49,142,6958,376,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Men's Street Footwear,49,232,11368,603,Online
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Men's Apparel,50,135,6750,331,Online
Amazon,1185732,1/22/21,Midwest,Ohio,Columbus,Men's Apparel,50,200,10000,3500,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Men's Street Footwear,50,225,11250,608,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Men's Apparel,50,450,22500,7875,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,50,500,25000,10000,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Women's Street Footwear,50,525,26250,10500,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,50,575,28750,10063,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Men's Street Footwear,50,800,40000,16000,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Women's Street Footwear,51,173,8823,450,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Women's Apparel,53,143,7579,485,Online
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Women's Street Footwear,53,150,7950,405,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,53,152,8056,435,Online
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Women's Apparel,54,169,9126,557,Online
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Men's Apparel,55,500,27500,9625,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,55,525,28875,11550,Online
Amazon,1185732,5/9/21,Midwest,Ohio,Columbus,Women's Apparel,55,550,30250,15125,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Women's Street Footwear,55,575,31625,12650,Online
Amazon,1185732,9/9/21,Midwest,Ohio,Columbus,Men's Street Footwear,55,775,42625,17050,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,56,195,10920,513,Online
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,58,195,11310,520,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,59,135,7965,398,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Men's Apparel,59,154,9086,418,Online
Amazon,1185732,12/9/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,60,181,10860,510,Online
